k,inertia,silhouette_kmeans,silhouette_ward,davies_bouldin,calinski_harabasz,stability_ari,stability_sd,kmeans_vs_ward_ari,smallest_cluster,mean_rank
2,5149.589759741864,0.16469317066262515,0.1762173484956314,2.2385749129713783,361.3654528861172,0.8006126431002746,0.3987755984793802,-0.0026819672557621983,736,
3,4533.7195650499325,0.17275796511236416,0.14649159217517013,1.9920850479339391,340.76272218454426,0.8431879499744566,0.2847578821728614,0.36598450624437995,462,4.0
4,4100.512023040148,0.16453997592744338,0.13357497761269618,1.7989008250841918,321.34037809343346,0.9064324264359787,0.16415558142542916,0.7919951427441363,387,2.4
5,3816.615785362286,0.1426424361117843,0.12453554884187366,1.6972069987605956,295.90172608191074,0.8493658535620696,0.11811273282815768,0.8134608670863985,303,2.6
6,3593.531033979007,0.16306246683283718,0.12586550628779725,1.7463275982486783,276.0482319375672,0.843322754444156,0.09883658490659193,0.7840321804219715,177,3.4
7,3389.131939022268,0.183128197743397,0.14176724548082,1.8843160858867194,263.8246559133653,0.8045554873696914,0.09809726217245353,0.6104207384195713,172,4.6
8,3215.366070386173,0.1921294746972675,0.156046199026707,1.8339588401747664,253.61560973148946,0.8405792052070732,0.07325127981889062,0.7212726402851319,172,4.0
9,3083.6154844706934,0.20455716444030844,0.16678818693497294,1.782459577468586,241.91241720910102,0.8678875521530308,0.07799956344288632,0.7172511563152748,115,
10,2987.672446143727,0.21239365497333718,0.18080408271354695,1.786910891614534,228.92768030412032,0.7578512934342547,0.0996000749531045,0.6677608066192249,121,
