design,silhouette_k4,stability_k4,ward_ari_k4,smallest_k4,best_k,silhouette_best,smallest_best
A. PRD-literal: age + satisfaction (MinMax) + one-hot,0.17223940212391808,0.8182738146077729,0.7953013995835382,387,10,0.2281193377003838,115
B. Chosen: 5 numeric features (MinMax) + one-hot,0.16453997592744338,0.9099183898770777,0.7919951427441363,387,10,0.21239365497333718,121
C. 5 numeric features (Standard) + one-hot,0.0904196829874804,0.7118253347918355,0.14707249046440266,432,2,0.10550205839533117,895
"D. Everything standardised, one-hot included",0.06914672535947174,0.5040161737839125,0.2956953322617382,65,3,0.1913301106083897,103
E. Equal-variance blocks,0.11469170533370796,0.8105765247885852,0.34567948957619427,103,3,0.12940853095427107,103
